,Date,TransitApp-NYC,TransitApp-NYC_p
283,2021-09-04,-12,-12%
284,2021-09-03,-1,-1%
285,2021-09-02,27,27%
286,2021-09-01,-29,-29%
287,2021-08-31,-27,-27%
288,2021-08-30,-17,-17%
289,2021-08-29,-12,-12%
290,2021-08-28,-24,-24%
291,2021-08-27,-23,-23%
292,2021-08-26,-25,-25%
293,2021-08-25,-22,-22%
294,2021-08-24,-21,-21%
295,2021-08-23,-26,-26%
296,2021-08-22,-41,-41%
297,2021-08-21,-17,-17%
298,2021-08-20,-20,-20%
299,2021-08-19,-25,-25%
300,2021-08-18,-22,-22%
301,2021-08-17,-24,-24%
302,2021-08-16,-22,-22%
303,2021-08-15,-18,-18%
304,2021-08-14,-20,-20%
305,2021-08-13,-16,-16%
306,2021-08-12,-21,-21%
307,2021-08-11,-18,-18%
308,2021-08-10,-22,-22%
309,2021-08-09,-24,-24%
310,2021-08-08,-25,-25%
311,2021-08-07,-20,-20%
312,2021-08-06,-22,-22%
313,2021-08-05,-28,-28%
314,2021-08-04,-25,-25%
315,2021-08-03,-27,-27%
316,2021-08-02,-26,-26%
317,2021-08-01,-27,-27%
318,2021-07-31,-23,-23%
319,2021-07-30,-27,-27%
320,2021-07-29,-32,-32%
321,2021-07-28,-24,-24%
322,2021-07-27,-23,-23%
323,2021-07-26,-21,-21%
324,2021-07-25,-27,-27%
325,2021-07-24,-25,-25%
326,2021-07-23,-30,-30%
327,2021-07-22,-28,-28%
328,2021-07-21,-32,-32%
329,2021-07-20,-32,-32%
330,2021-07-19,-30,-30%
331,2021-07-18,-26,-26%
332,2021-07-17,-30,-30%
333,2021-07-16,-28,-28%
334,2021-07-15,-27,-27%
335,2021-07-14,-32,-32%
336,2021-07-13,-33,-33%
337,2021-07-12,-32,-32%
338,2021-07-11,-28,-28%
339,2021-07-10,-27,-27%
340,2021-07-09,-31,-31%
341,2021-07-08,-24,-24%
342,2021-07-07,-30,-30%
343,2021-07-06,-34,-34%
344,2021-07-05,-37,-37%
345,2021-07-04,-31,-31%
346,2021-07-03,-42,-42%
347,2021-07-02,-36,-36%
348,2021-07-01,-36,-36%
349,2021-06-30,-38,-38%
350,2021-06-29,-32,-32%
351,2021-06-28,-31,-31%
352,2021-06-27,-18,-18%
353,2021-06-26,-22,-22%
354,2021-06-25,-27,-27%
355,2021-06-24,-27,-27%
356,2021-06-23,-34,-34%
357,2021-06-22,-37,-37%
358,2021-06-21,-32,-32%
359,2021-06-20,-22,-22%
360,2021-06-19,-27,-27%
361,2021-06-18,-33,-33%
362,2021-06-17,-33,-33%
363,2021-06-16,-37,-37%
364,2021-06-15,-34,-34%
365,2021-06-14,-37,-37%
366,2021-06-13,-25,-25%
367,2021-06-12,-31,-31%
368,2021-06-11,-37,-37%
369,2021-06-10,-32,-32%
370,2021-06-09,-35,-35%
371,2021-06-08,-36,-36%
372,2021-06-07,-33,-33%
373,2021-06-06,-19,-19%
374,2021-06-05,-27,-27%
375,2021-06-04,-42,-42%
376,2021-06-03,-44,-44%
377,2021-06-02,-41,-41%
378,2021-06-01,-38,-38%
379,2021-05-31,-43,-43%
380,2021-05-30,-48,-48%
381,2021-05-29,-50,-50%
382,2021-05-28,-44,-44%
383,2021-05-27,-37,-37%
384,2021-05-26,-40,-40%
385,2021-05-25,-42,-42%
386,2021-05-24,-40,-40%
387,2021-05-23,-31,-31%
388,2021-05-22,-37,-37%
389,2021-05-21,-43,-43%
390,2021-05-20,-43,-43%
391,2021-05-19,-44,-44%
392,2021-05-18,-45,-45%
393,2021-05-17,-42,-42%
394,2021-05-16,-34,-34%
395,2021-05-15,-39,-39%
396,2021-05-14,-45,-45%
397,2021-05-13,-47,-47%
398,2021-05-12,-47,-47%
399,2021-05-11,-47,-47%
400,2021-05-10,-46,-46%
401,2021-05-09,-36,-36%
402,2021-05-08,-45,-45%
403,2021-05-07,-43,-43%
404,2021-05-06,-45,-45%
405,2021-05-05,-50,-50%
406,2021-05-04,-45,-45%
407,2021-05-03,-43,-43%
408,2021-05-02,-27,-27%
409,2021-05-01,-38,-38%
410,2021-04-30,-42,-42%
411,2021-04-29,-48,-48%
412,2021-04-28,-43,-43%
413,2021-04-27,-46,-46%
414,2021-04-26,-41,-41%
415,2021-04-25,-35,-35%
416,2021-04-24,-33,-33%
417,2021-04-23,-39,-39%
418,2021-04-22,-48,-48%
419,2021-04-21,-49,-49%
420,2021-04-20,-44,-44%
421,2021-04-19,-44,-44%
422,2021-04-18,-35,-35%
423,2021-04-17,-38,-38%
424,2021-04-16,-41,-41%
425,2021-04-15,-50,-50%
426,2021-04-14,-47,-47%
427,2021-04-13,-48,-48%
428,2021-04-12,-48,-48%
429,2021-04-11,-47,-47%
430,2021-04-10,-44,-44%
431,2021-04-09,-46,-46%
432,2021-04-08,-50,-50%
433,2021-04-07,-50,-50%
434,2021-04-06,-52,-52%
435,2021-04-05,-50,-50%
436,2021-04-04,-46,-46%
437,2021-04-03,-49,-49%
438,2021-04-02,-55,-55%
439,2021-04-01,-54,-54%
440,2021-03-31,-55,-55%
441,2021-03-30,-53,-53%
442,2021-03-29,-53,-53%
443,2021-03-28,-48,-48%
444,2021-03-27,-42,-42%
445,2021-03-26,-48,-48%
446,2021-03-25,-52,-52%
447,2021-03-24,-55,-55%
448,2021-03-23,-52,-52%
449,2021-03-22,-50,-50%
450,2021-03-21,-40,-40%
451,2021-03-20,-45,-45%
452,2021-03-19,-52,-52%
453,2021-03-18,-56,-56%
454,2021-03-17,-55,-55%
455,2021-03-16,-56,-56%
456,2021-03-15,-53,-53%
457,2021-03-14,-43,-43%
458,2021-03-13,-48,-48%
459,2021-03-12,-51,-51%
460,2021-03-11,-52,-52%
461,2021-03-10,-54,-54%
462,2021-03-09,-53,-53%
463,2021-03-08,-50,-50%
464,2021-03-07,-44,-44%
465,2021-03-06,-49,-49%
466,2021-03-05,-53,-53%
467,2021-03-04,-55,-55%
468,2021-03-03,-54,-54%
469,2021-03-02,-56,-56%
470,2021-03-01,-50,-50%
471,2021-02-28,-43,-43%
472,2021-02-27,-49,-49%
473,2021-02-26,-51,-51%
474,2021-02-25,-51,-51%
475,2021-02-24,-48,-48%
476,2021-02-23,-53,-53%
477,2021-02-22,-49,-49%
478,2021-02-21,-41,-41%
479,2021-02-20,-45,-45%
480,2021-02-19,-49,-49%
481,2021-02-18,-52,-52%
482,2021-02-17,-52,-52%
483,2021-02-16,-51,-51%
484,2021-02-15,-47,-47%
485,2021-02-14,-42,-42%
486,2021-02-13,-48,-48%
487,2021-02-12,-55,-55%
488,2021-02-11,-55,-55%
489,2021-02-10,-55,-55%
490,2021-02-09,-55,-55%
491,2021-02-08,-52,-52%
492,2021-02-07,-47,-47%
493,2021-02-06,-43,-43%
494,2021-02-05,-54,-54%
495,2021-02-04,-53,-53%
496,2021-02-03,-53,-53%
497,2021-02-02,-55,-55%
498,2021-02-01,-54,-54%
499,2021-01-31,-49,-49%
500,2021-01-30,-53,-53%
501,2021-01-29,-62,-62%
502,2021-01-28,-60,-60%
503,2021-01-27,-60,-60%
504,2021-01-26,-61,-61%
505,2021-01-25,-54,-54%
506,2021-01-24,-51,-51%
507,2021-01-23,-50,-50%
508,2021-01-22,-59,-59%
509,2021-01-21,-61,-61%
510,2021-01-20,-61,-61%
511,2021-01-19,-59,-59%
512,2021-01-18,-57,-57%
513,2021-01-17,-50,-50%
514,2021-01-16,-51,-51%
515,2021-01-15,-59,-59%
516,2021-01-14,-59,-59%
517,2021-01-13,-59,-59%
518,2021-01-12,-56,-56%
519,2021-01-11,-56,-56%
520,2021-01-10,-51,-51%
521,2021-01-09,-52,-52%
522,2021-01-08,-58,-58%
523,2021-01-07,-57,-57%
524,2021-01-06,-53,-53%
525,2021-01-05,-57,-57%
526,2021-01-04,-56,-56%
527,2021-01-03,-56,-56%
528,2021-01-02,-57,-57%
529,2021-01-01,-68,-68%
530,2020-12-31,-53,-53%
531,2020-12-30,-36,-36%
532,2020-12-29,-49,-49%
533,2020-12-28,-50,-50%
534,2020-12-27,-50,-50%
535,2020-12-26,-56,-56%
536,2020-12-25,-73,-73%
537,2020-12-24,-52,-52%
538,2020-12-23,-32,-32%
539,2020-12-22,-46,-46%
540,2020-12-21,-48,-48%
541,2020-12-20,-47,-47%
542,2020-12-19,-46,-46%
543,2020-12-18,-53,-53%
544,2020-12-17,-54,-54%
545,2020-12-16,-44,-44%
546,2020-12-15,-54,-54%
547,2020-12-14,-59,-59%
548,2020-12-13,-49,-49%
549,2020-12-12,-52,-52%
550,2020-12-11,-60,-60%
551,2020-12-10,-61,-61%
552,2020-12-09,-62,-62%
553,2020-12-08,-61,-61%
554,2020-12-07,-58,-58%
555,2020-12-06,-47,-47%
556,2020-12-05,-56,-56%
557,2020-12-04,-58,-58%
558,2020-12-03,-57,-57%
559,2020-12-02,-62,-62%
560,2020-12-01,-61,-61%
561,2020-11-30,-63,-63%
562,2020-11-29,-47,-47%
563,2020-11-28,-54,-54%
564,2020-11-27,-62,-62%
565,2020-11-26,-68,-68%
566,2020-11-25,-60,-60%
567,2020-11-24,-59,-59%
568,2020-11-23,-57,-57%
569,2020-11-22,-46,-46%
570,2020-11-21,-49,-49%
571,2020-11-20,-52,-52%
572,2020-11-19,-55,-55%
573,2020-11-18,-60,-60%
574,2020-11-17,-59,-59%
575,2020-11-16,-55,-55%
576,2020-11-15,-49,-49%
577,2020-11-14,-50,-50%
578,2020-11-13,-60,-60%
579,2020-11-12,-61,-61%
580,2020-11-11,-63,-63%
581,2020-11-10,-54,-54%
582,2020-11-09,-52,-52%
583,2020-11-08,-45,-45%
584,2020-11-07,-50,-50%
585,2020-11-06,-57,-57%
586,2020-11-05,-57,-57%
587,2020-11-04,-60,-60%
588,2020-11-03,-59,-59%
589,2020-11-02,-54,-54%
590,2020-11-01,-47,-47%
591,2020-10-31,-50,-50%
592,2020-10-30,-61,-61%
593,2020-10-29,-63,-63%
594,2020-10-28,-60,-60%
595,2020-10-27,-56,-56%
